,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Boiling Base,0,0,0,1,0,0,144,2193,2667,5443,5444,5029,6198,4324,4849,4051,2894,2667,1471,832,510,417,64,0
Cheerful Clam,0,0,0,0,0,0,132,1367,2226,2618,1883,2428,2005,1991,2190,1495,1824,1448,800,556,366,319,13,0
Forgetful Fang,3,5,3,1,0,0,230,1716,2936,3954,4516,3955,4081,3628,3928,3481,3094,2688,2068,1260,1119,622,209,14
Grotesque Giraffe,0,0,0,9,0,0,242,2308,4310,4680,4065,4727,4615,4628,4964,4282,4748,4564,3215,1642,987,714,306,0
Judicious Jail,0,0,0,6,0,0,46,411,624,684,800,332,154,72,98,448,353,532,270,4,0,0,0,0
Mellow Man,0,0,0,0,0,0,1,537,1019,799,682,653,609,707,796,695,820,615,505,218,205,113,8,0
Sedate Skirt,0,0,0,0,0,0,48,407,582,509,430,465,457,486,481,439,582,495,367,250,65,7,0,0
Slimy Side,21,15,6,1,0,0,92,982,986,1000,733,877,864,797,891,613,870,638,326,192,144,191,75,49
Strong Stamp,0,0,0,0,0,0,3,445,544,818,756,477,538,493,589,611,351,650,211,5,1,0,0,0
Wide-Eyed Weight,0,0,0,3,0,0,247,1992,3912,4536,3436,4633,4083,3728,3516,2339,2915,2345,1403,826,741,375,219,1
